estado,2019,maio,junho,tipo
ACRE,44487,39352,39361,area
ALAGOAS,45842,80283,80385,area
AMAPÁ,21548,22442,23242,area
AMAZONAS,22930,22930,22930,area
BAHIA,3130065,3107865,3085865,area
CEARÁ,909518,961926,961640,area
DISTRITO FEDERAL,159350,161900,162000,area
ESPÍRITO SANTO,23122,22805,22810,area
GOIÁS,5485973,5760424,5726095,area
MARANHÃO,1589056,1603084,1602734,area
MATO GROSSO,16273085,16730548,16730548,area
MATO GROSSO DO SUL,5015004,4908927,4908927,area
MINAS GERAIS,3417799,3523392,3523775,area
PARÁ,933549,955371,955371,area
PARAÍBA,158962,190657,190657,area
PARANÁ,9663377,9764263,9800621,area
PERNAMBUCO,213123,234393,243814,area
PIAUÍ,1485677,1510865,1510865,area
RIO DE JANEIRO,3499,3190,3175,area
RIO GRANDE DO NORTE,109847,112210,112054,area
RIO GRANDE DO SUL,8721924,8894520,8894520,area
RONDÔNIA,637004,700970,700970,area
RORAIMA,51827,51827,51827,area
SANTA CATARINA,1284621,1281686,1281686,area
SÃO PAULO,2291584,2325916,2366064,area
SERGIPE,147525,162722,162138,area
TOCANTINS,1368786,1427327,1427327,area
ACRE,95917,85784,86852,producao
ALAGOAS,,105458,105525,producao
AMAPÁ,50813,60375,62955,producao
AMAZONAS,41207,41420,41420,producao
BAHIA,8283660,9065031,9359331,producao
CEARÁ,559791,918483,903649,producao
DISTRITO FEDERAL,826860,860900,863936,producao
ESPÍRITO SANTO,47578,48761,48774,producao
GOIÁS,24165328,25295407,25049399,producao
MARANHÃO,4929446,5359847,5358677,producao
MATO GROSSO,67533553,70280101,70280101,producao
MATO GROSSO DO SUL,18991372,19587130,19587130,producao
MINAS GERAIS,14449572,15112589,15184904,producao
PARÁ,2777685,2833967,2833967,producao
PARAÍBA,63189,135066,135066,producao
PARANÁ,36068803,40388100,40603600,producao
PERNAMBUCO,88102,139007,142106,producao
PIAUÍ,4416577,5071729,5071729,producao
RIO DE JANEIRO,10132,9652,9640,producao
RIO GRANDE DO NORTE,56311,61949,61463,producao
RIO GRANDE DO SUL,34608560,26482190,26482190,producao
RONDÔNIA,2297435,2522304,2522304,producao
RORAIMA,175314,171605,171605,producao
SANTA CATARINA,6540570,6540555,6540555,producao
SÃO PAULO,9224840,9243126,10344265,producao
SERGIPE,695197,676097,785638,producao
TOCANTINS,4374994,4779654,4779654,producao
